,297,594,891,1188,1485,1782,2079,2673,2970
AVLTreeApp comparisons best,3,3,3,3,3,3,3,3,3
AVLTreeApp comparisons worst,21,21,23,25,25,25,27,27,27
AVLTreeApp comparisons average,15,17,19,20,20,21,21,22,22
AVLTreeApp insertions best,22,22,22,22,26,24,28,26,28
AVLTreeApp insertions worst,22,22,22,22,26,24,28,26,28
AVLTreeApp insertions average,22,22,22,22,26,24,28,26,28
BSTApp comparisons best,3,3,3,3,3,3,3,3,3
BSTApp comparisons worst,41,77,111,147,167,219,271,369,415
BSTApp comparisons average,22,38,53,69,85,101,120,162,184
BSTApp insertions best,18,31,50,67,76,102,128,181,191
BSTApp insertions worst,18,31,50,67,76,102,128,181,191
BSTApp insertions average,18,31,50,67,76,102,128,181,191
